-1,-2.90063476529048
-0.98,-2.82365140147229
-0.96,-2.74492229332835
-0.94,-2.66538046334408
-0.92,-2.58581262914274
-0.9,-2.50687538472264
-0.88,-2.42911005929819
-0.86,-2.35295633280427
-0.84,-2.27876468385211
-0.82,-2.2068077427266
-0.8,-2.13729061889024
-0.78,-2.07036026940793
-0.76,-2.00611397172864
-0.74,-1.94460696135586
-0.72,-1.88585929210744
-0.7,-1.82986197390805
-0.68,-1.77658244037308
-0.66,-1.72596939583224
-0.64,-1.67795708890343
-0.62,-1.6324690572639
-0.6,-1.5894213858748
-0.58,-1.54872551859816
-0.56,-1.51029066090186
-0.54,-1.47402580917748
-0.52,-1.43984144009922
-0.5,-1.40765089142854
-0.48,-1.37737146371914
-0.46,-1.34892527050007
-0.44,-1.32223986271172
-0.42,-1.29724865143935
-0.4,-1.27389115133267
-0.38,-1.25211306551669
-0.36,-1.23186623128958
-0.34,-1.21310844446707
-0.32,-1.19580317887017
-0.3,-1.17991921616341
-0.28,-1.16543020003522
-0.26,-1.15231412756908
-0.24,-1.14055278958522
-0.22,-1.13013117073688
-0.2,-1.12103681922267
-0.18,-1.11325919512786
-0.16,-1.10678900563183
-0.14,-1.10161753461683
-0.12,-1.09773597358453
-0.1,-1.09513476023164
-0.08,-1.09380293055397
-0.0600000000000001,-1.09372748993985
-0.04,-1.09489280837888
-0.02,-1.09728004465037
0,-1.10086660416749
0.02,-1.10562563503849
0.04,-1.11152556686501
0.0600000000000001,-1.11852969682944
0.0800000000000001,-1.12659582772868
0.1,-1.13567596279074
0.12,-1.14571606236263
0.14,-1.15665586788386
0.16,-1.16842879895886
0.18,-1.18096192981417
0.2,-1.19417605197221
0.22,-1.20798583059264
0.24,-1.22230006262526
0.26,-1.23702204568434
0.28,-1.25205006739401
0.3,-1.26727802586719
0.32,-1.28259619296706
0.34,-1.29789213305968
0.36,-1.31305179109977
0.38,-1.32796076509827
0.4,-1.34250577930003
0.42,-1.35657637575406
0.44,-1.37006684338482
0.46,-1.38287840517406
0.48,-1.39492168563586
0.5,-1.4061194824149
0.52,-1.41640986755843
0.54,-1.42574964580624
0.56,-1.4341181991104
0.58,-1.44152174853723
0.6,-1.44799806671798
0.62,-1.45362167610257
0.64,-1.45850957043132
0.66,-1.46282749907439
0.68,-1.46679685619613
0.7,-1.47070221908295
0.72,-1.47489958242785
0.74,-1.47982533789277
0.76,-1.48600605087157
0.78,-1.49406908905089
0.8,-1.50475416011495
0.82,-1.51892581876149
0.84,-1.53758700609165
0.86,-1.5618936874047
0.88,-1.59317065747058
0.9,-1.63292858546873
0.92,-1.68288237497008
0.94,-1.74497091760158
0.96,-1.82137832236779
0.98,-1.91455670601366
1,-2.02725063329424
